Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation,,,,
Date,Time,ë_g/må_,ë_g/må_,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
15/06/2017,16:32:50,503.427,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:32:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:00,1104.224,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:10,691.111,,17.7,71.4,4.03,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:20,637.151,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:30,958.839,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:40,643.377,,17.7,71.4,,0.48,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:50,730.544,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:33:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:00,653.754,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:10,615.739,,17.7,71.5,4.03,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:20,472.688,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:30,669.642,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:40,624.242,,17.7,71.3,,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:50,495.232,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:34:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:00,563.898,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:10,696.331,,17.7,71.3,4,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:20,814.812,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:30,879.248,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:40,740.921,,17.7,71.4,,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:50,730.544,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:35:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:00,1019.026,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:10,995.307,,17.7,71.5,4,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:20,962.199,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:30,647.674,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:40,566.516,,17.7,71.8,,0.49,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:50,601.537,,,71.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:36:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:00,861.104,,,71.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:10,897.693,,17.7,71.5,4.03,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:20,762.936,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:30,959.889,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:40,701.977,,17.7,71.5,,0.49,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:50,770.311,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:37:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:00,801.372,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:10,656.602,,17.7,71.7,4.02,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:20,574.01,,,71.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:30,507.937,,,71.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:40,352.014,,17.7,71.8,,0.49,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:50,578.455,,,71.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:38:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:00,428.18,,,71.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:10,529.663,,17.7,71.6,4.03,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:20,583.457,,,71.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:30,531.732,,,71.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:40,458.611,,17.7,71.4,,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:50,576.896,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:39:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:00,350.703,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:10,429.559,,17.6,71.4,4,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:20,404.657,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:30,361.078,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:40,499.699,,17.6,71.4,,0.49,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:50,470.671,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:40:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:00,466.524,,,71.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:10,349.246,,17.6,71.3,4.01,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:20,363.798,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:30,326.379,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:40,288.755,,17.6,71.3,,0.49,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:50,367.695,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:41:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:00,394.701,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:10,291.176,,17.6,71.3,4.03,0.48,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:20,210.062,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:30,210.062,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:40,251.451,,17.6,71.3,,0.5,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:50,353.279,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:42:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:00,187.03,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:10,202.028,,17.6,71.2,4.01,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:20,277.007,,,71.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:30,297.835,,,71.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:40,289.707,,17.6,71.2,,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:50,220.928,,,71.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:43:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:00,262.612,,,71.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:10,289.266,,17.6,71.3,4.03,0.5,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:20,264.293,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:30,235.159,,,71.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:40,130.487,,17.5,71.5,,0.5,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:50,318.968,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:44:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:00,269.259,,,71.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:10,324.483,,17.5,71.6,3.98,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:20,419.554,,,71.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:30,276.947,,,71.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:40,358.493,,17.5,71.8,,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:50,436.785,,,71.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:45:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:00,362.614,,,71.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:10,219.462,,17.5,72,3.98,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:20,326.116,,,72,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:30,248.176,,,72,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:40,238.968,,17.5,72.2,,0.49,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:50,441.172,,,72.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:46:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:00,430.959,,,72.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:10,340.243,,17.5,72.3,4.02,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:20,315.794,,,72.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:30,218,,,72.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:40,166.94,,17.5,72.4,,0.5,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:50,225.98,,,72.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:47:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:00,358.31,,,72.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:10,267.396,,17.5,72.2,4.01,0.49,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:20,332.715,,,72.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:30,236.778,,,72.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:40,226.149,,17.4,72.3,,0.49,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:50,215.962,,,72.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:48:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:00,191.514,,,72.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:10,289.777,,17.4,72.2,4.02,0.5,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:20,242.842,,,72.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:30,181.621,,,72.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:40,174.864,,17.4,72.4,,0.48,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:50,144.364,,,72.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:49:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:00,99.632,,,72.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:10,155.439,,17.4,72.1,4.02,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:20,188.163,,,72.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:30,171.801,,,72.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:40,229.521,,17.4,71.6,,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:50,179.895,,,71.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:50:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:00,159.218,,,71.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:10,270.389,,17.4,71.7,3.98,0.48,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:20,220.852,,,71.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:30,181.636,,,71.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:40,483.571,,17.4,72,,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:50,999.926,,,72,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:51:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:00,463.081,,,72,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:10,224.28,,17.4,72.3,4,0.5,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:20,256.902,,,72.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:30,373.12,,,72.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:40,554.323,,17.4,72.5,,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:50,552.293,,,72.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:52:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:00,442.646,,,72.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:10,352.322,,17.4,72.6,3.99,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:20,411.042,,,72.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:30,429.266,,,72.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:40,392.669,,17.4,72.6,,0.49,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:50,1020.13,,,72.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:53:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:00,360.284,,,72.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:10,459.411,,17.3,72.4,4.02,0.49,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:20,380.132,,,72.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:30,311.017,,,72.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:40,491.598,,17.3,72.7,,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:50,376.285,,,72.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:54:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:00,523.966,,,72.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:10,615.481,,17.3,72.9,3.98,0.49,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:20,655.708,,,72.9,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:30,663.754,,,72.9,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:40,478.782,,17.3,73.1,,0.49,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:50,358.586,,,73.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:55:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:56:00,424.694,,,73.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:56:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:56:10,426.026,,17.3,73.2,4.02,0.5,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:56:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:56:20,484.029,,,73.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,16:56:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
