filterID,netmass
KHC0292,0.1788
KHC0293,0.1472
KHC0294,0.1538
KHC0295,0.0696
KHC0296,0.1132
KHC0297,0.1911
KHC0298,0.0888
KHC0299,0.2074
KHC0300,0.1026
KHC0301,0.0021
KHC0302,0.0821
KHC0303,0.0757
KHC0304,0.2283
KHC0305,0.2869
KHC0306,0.4974
KHC0307,0.667
KHC0308,0.3362
KHC0310,0.4777
KHC0311,0.2896
KHC0312,0.5259
KHC0313,0.3681
KHC0315,0.0934
KHC0316,0.0572
KHC0317,0.0552
KHC0318,0.0579
KHC0319,0.0939
KHC0320,0.069
KHC0321,0.0735
KHC0322,0.0707
KHC0323,0.0981
KHC0324,0.0856
KHC0325,0.3389
KHC0326,0.0736
KHC0327,0.1043
KHC0328,0.0081
KHC0329,0.0745
KHC0330,0.111
KHC0331,0.2202
KHC0332,0.1729
KHC0333,0.2388
KHC0334,0.122
KHC0335,0.014
KHC0336,0.0468
KHC0337,0.0746
KHC0338,0.0711
KHC0339,0.0833
KHC0340,0.1341
KHC0341,0.1006
KHC0342,0.0894
KHC0343,0.3236
KHC0344,0.1165
KHC0345,0.0585
KHC0346,0.1717
KHC0347,0.1355
KHC0348,0.1126
KHC0349,0.096
KHC0350,0.1857
KHC0351,0.1292
KHC0352,0.1425
KHC0353,0.1357
KHC0354,0.1344
KHC0355,0.1493
KHC0356,0.1708
KHC0357,0.147
KHC0358,0.0963
KHC0360,0.1174
KHC0361,0.1081
KHC0362,0.0901
KHC0363,0.0986
KHC0364,0.1102
KHC0365,0.5503
KHC0366,0.3404
KHC0367,0.2586
KHC0368,0.4219
KHC0369,0.2788
KHC0370,0.1552
KHC0372,0.0924
KHC0373,0.1499
KHC0374,0.1095
KHC0375,0.1245
KHC0376,0.3158
KHC0377,0.5253
KHC0378,0.0939
KHC0379,0.1245
KHC0380,0.4144
KHC0381,0.5166
KHC0382,0.2021
KHC0383,0.3028
KHC0384,
KHC0385,0.3156
KHC0386,0.3578
KHC0387,
KHC0389,0.1556
KHC0390,0.2906
KHC0391,0.3622
KHC0392,0.2358
KHC0393,0.2161
KHC0394,0.3407
KHC0395,0.1968
KHC0396,0.0413
KHC0397,0.0446
KHC0398,0.2725
KHC0399,0.0425
KHC0400,0.0031
KHC0401,0.0496
KHC0402,0.041
KHC0403,0.0627
KHC0404,0.0687
KHC0405,0.0598
KHC0406,0.0544
KHC0407,0.1209
KHC0408,0.1084
KHC0409,0.0766
KHC0410,0.0524
KHC0411,0.0392
KHC0412,0.0734
KHC0413,0.044
KHC0414,0.0482
KHC0415,0.0401
KHC0416,0.0377
KHC0417,0.0465
KHC0418,0.0729
KHC0419,0.0947
KHC0420,0.0026
KHC0421,
KHC0422,0.0863
KHC0423,0.0326
KHC0424,0.0712
KHC0425,0.0788
KHC0426,0.0765
KHC0427,0.0475
KHC0428,0.0661
KHC0429,0.051
KHC0430,0.0592
KHC0431,0.0959
KHC0432,0.2158
KHC0433,0.0502
KHC0434,0.051
KHC0435,0.0821
KHC0436,0.0433
KHC0437,0.1209
KHC0438,0.0425
KHC0439,0.0578
KHC0440,0.0506
KHC0441,0.0619
KHC0442,0.0301
KHC0443,0.0265
KHC0444,0.0208
KHC0445,0.0273
KHC0446,0.0572
KHC0447,0.0399
KHC0448,0.0683
KHC0449,0.0747
KHC0450,0.0765
KHC0451,0.0705
KHC0452,
KHC0453,0.0525
KHC0454,0.0534
KHC0455,0.0273
KHC0456,0.0647
KHC0457,0.0326
KHC0458,0.0416
KHC0459,
KHC0460,0.0547
KHC0461,0.0663
KHC0462,0.0854
KHC0463,0.2082
KHC0464,0.057
KHC0465,0.1157
KHC0466,0.0427
KHC0467,0.0347
KHC0468,0.1141
KHC0469,0.1049
KHC0470,0.1225
KHC0471,0.0718
KHC0472,0.0568
KHC0473,0.0517
KHC0474,0.0916
KHC0475,0.1698
KHC0476,0.1344
KHC0477,0.0298
KHC0478,0.0364
KHC0479,0.0146
KHC0480,0.0389
KHC0481,0.028
KHC0482,0.0246
KHC0483,0.1372
KHC0484,0.0686
KHC0485,0.0933
KHC0486,0.0449
KHC0487,0.033
KHC0488,0.0779
KHC0489,0.0363
KHC0490,0.0416
KHC0501,0.0391
KHC0502,0.0771
KHC0503,0.0299
KHC0504,0.046
KHC0505,0.0843
KHC0506,0.0314
KHC0507,0.0344
KHC0508,0.0062
KHC0509,0.0279
KHC0510,0.1011
KHC0511,0.0377
KHC0512,0.0208
KHC0513,0.0281
KHC0514,0.0188
KHC0515,0.0405
KHC0516,0.0692
KHC0517,0.0358
KHC0518,0.048
KHC0519,0.0591
KHC0520,0.0453
KHC0521,0.0465
KHC0522,0.0772
KHC0523,0.0665
KHC0524,0.1236
KHC0525,0.0591
KHC0526,0.058
KHC0527,0.0629
KHC0528,0.0532
KHC0529,0.0669
KHC0530,0.0408
KHC0531,0.0596
KHC0532,0.0509
KHC0533,0.0461
KHC0535,0.0369
KHC0536,
KHC0537,0.0317
KHC0538,0.0383
KHC0539,0.0958
KHC0540,0.047
KHC0541,0.0551
KHC0542,0.0311
KHC0543,0.0302
KHC0544,0.0493
KHC0545,0.0898
KHC0546,-0.0013
KHC0547,-0.0016
KHC0548,-0.0007
KHC0549,-0.0018
KHC0550,0.0003
KHC0551,0.0523
KHC0552,0.0368
KHC0553,0.0309
KHC0554,0.0614
KHC0555,0.0543
KHC0556,0.0355
KHC0557,0.0349
KHC0558,0.0453
KHC0559,0.058
KHC0560,0.0474
KHC0561,0.0208
KHC0562,0.0512
KHC0563,0.0396
KHC0564,0.0646
KHC0565,0.0721
KHC0566,0.0308
KHC0567,0.0828
KHC0568,0.0236
KHC0569,0.0261
KHC0570,0.0253
KHC0571,0.0104
KHC0572,0.0406
KHC0573,0.0585
KHC0574,0.0386
KHC0575,0.0367
KHC0576,0.0677
KHC0577,0.0725
KHC0578,0.0375
KHC0579,0.0658
KHC0580,0.0921
KHC0581,0.0528
KHC0582,0.0207
KHC0583,0.0748
KHC0584,0.0555
KHC0585,0.0416
KHC0586,0.0231
KHC0587,0.0447
KHC0588,0.0614
KHC0589,0.0758
KHC0590,0.0241
KHC0591,0.0564
KHC0592,0.0514
KHC0593,0.0865
KHC0594,0.0816
KHC0595,0.0492
KHC0596,0.0442
KHC0597,0.0538
KHC0598,0.0855
KHC0599,0.053
KHC0600,0.0292
KHC0601,0.0171
KHC0602,0.036
KHC0603,0.08
KHC0604,0.0341
KHC0605,0.0272
KHC0606,0.027
KHC0607,0.0269
KHC0608,0.0891
KHC0609,0.0638
KHC0610,0.0891
KHC0611,0.1182
KHC0612,0.0449
KHC0613,0.0704
KHC0614,0.0175
KHC0615,0.0859
KHC0616,0.051
KHC0617,0.0729
KHC0618,0.0863
KHC0619,0.0467
KHC0620,0.0136
KHC0621,0.0288
KHC0622,0.0545
KHC0623,0.0751
KHC0624,0.0625
KHC0625,
KHC0626,0.0622
KHC0627,0.0252
KHC0628,0.0309
KHC0629,0.0478
KHC0630,0.0417
KHC0631,0.0578
KHC0632,0.0319
KHC0633,0.0293
KHC0634,0.0302
KHC0635,0.0312
KHC0636,0.0411
KHC0637,0.0195
KHC0638,0.0427
KHC0639,0.0655
KHC0640,0.0381
KHC0641,0.0421
KHC0642,0.0193
KHC0643,0.0549
KHC0644,0.0767
KHC0645,0.048
KHC0646,0.0545
KHC0647,0.0377
KHC0648,0.0326
KHC0649,0.0394
KHC0650,0.0453
KHC0651,0.0437
KHC0652,0.0494
KHC0653,0.0203
KHC0654,0.0359
KHC0655,0.0575
KHC0656,0.0362
KHC0657,0.0278
KHC0658,0.0409
KHC0659,0.0659
KHC0660,0.0778
KHC0661,0.0203
KHC0662,0.0261
KHC0663,0.0201
KHC0664,0.1011
KHC0665,0.026
KHC0666,0.0414
KHC0667,0.09
KHC0668,0.0906
KHC0669,0.0113
KHC0670,0.0319
KHC0671,0.0894
KHC0672,0.0453
KHC0673,
KHC0674,0.0591
KHC0675,0.0277
KHC0676,0.0767
KHC0677,0.0368
KHC0678,0.0339
KHC0679,
KHC0680,0.0512
KHC0681,0.0412
KHC0682,0.0337
KHC0683,0.0459
KHC0684,0.04
KHC0685,0.0333
KHC0686,
KHC0687,0.0424
KHC0688,0.0493
KHC0689,0.0357
KHC0690,0.0318
KHC0691,0.0289
KHC0692,0.0445
KHC0693,0.0303
KHC0694,0.0355
KHC0695,0.0907
